filename,label
train_256__2.wav,negative
train_213__3.wav,negative
train_148__5.wav,negative
train_103__2.wav,negative
train_177__1.wav,negative
train_063__0.wav,negative
train_240__0.wav,positive
train_190__2.wav,negative
train_086__0.wav,positive
train_200__4.wav,negative
train_245__4.wav,negative
train_198__0.wav,negative
train_127__3.wav,positive
train_104__2.wav,negative
train_070__0.wav,negative
train_190__4.wav,negative
train_193__3.wav,negative
train_018__1.wav,negative
train_222__0.wav,negative
train_033__1.wav,positive
train_195__0.wav,positive
train_067__1.wav,negative
train_187__0.wav,negative
train_250__0.wav,negative
train_234__0.wav,positive
train_231__0.wav,negative
train_004__1.wav,negative
train_193__2.wav,negative
train_253__0.wav,positive
train_191__0.wav,positive
train_031__0.wav,negative
train_039__2.wav,negative
train_198__2.wav,negative
train_119__2.wav,negative
train_137__5.wav,negative
train_282__1.wav,negative
train_271__1.wav,negative
train_041__1.wav,negative
train_150__1.wav,positive
train_091__0.wav,negative
train_017__0.wav,negative
train_239__0.wav,positive
train_181__3.wav,negative
train_121__0.wav,negative
train_065__0.wav,negative
train_222__1.wav,negative
train_204__3.wav,negative
train_205__0.wav,positive
train_036__1.wav,negative
train_204__6.wav,negative
train_166__1.wav,negative
train_185__2.wav,negative
train_018__4.wav,negative
train_208__1.wav,negative
train_228__0.wav,positive
train_031__1.wav,negative
train_279__0.wav,positive
train_190__5.wav,negative
train_193__5.wav,negative
train_179__0.wav,negative
train_137__2.wav,negative
train_128__0.wav,negative
train_020__0.wav,negative
train_282__0.wav,negative
train_233__0.wav,positive
train_204__0.wav,negative
train_174__1.wav,negative
train_087__2.wav,negative
train_166__2.wav,negative
train_195__2.wav,positive
train_035__0.wav,positive
train_222__2.wav,negative
train_005__2.wav,negative
train_148__1.wav,negative
train_142__0.wav,positive
train_099__0.wav,negative
train_203__2.wav,negative
train_066__1.wav,positive
train_027__0.wav,negative
train_244__1.wav,negative
train_205__2.wav,positive
train_054__0.wav,positive
train_211__0.wav,negative
train_137__1.wav,negative
train_077__0.wav,negative
train_103__1.wav,negative
train_267__2.wav,negative
train_263__1.wav,negative
train_151__0.wav,negative
train_067__2.wav,negative
train_260__0.wav,positive
train_268__0.wav,negative
train_134__1.wav,negative
train_098__0.wav,positive
train_190__1.wav,negative
train_080__0.wav,positive
train_084__0.wav,positive
train_196__2.wav,positive
train_193__0.wav,negative
train_280__1.wav,positive
train_118__1.wav,positive
train_067__3.wav,negative
train_250__2.wav,negative
train_098__2.wav,positive
train_200__0.wav,negative
train_154__0.wav,negative
train_250__1.wav,negative
train_268__2.wav,negative
train_190__0.wav,negative
train_153__1.wav,positive
train_244__0.wav,negative
train_049__3.wav,negative
train_033__0.wav,positive
train_071__2.wav,negative
train_067__0.wav,negative
train_061__1.wav,positive
train_185__4.wav,negative
train_176__1.wav,positive
train_005__3.wav,negative
train_153__2.wav,positive
train_243__1.wav,positive
train_066__0.wav,positive
train_127__0.wav,positive
train_012__0.wav,positive
train_182__1.wav,negative
train_251__0.wav,negative
train_285__0.wav,positive
train_129__2.wav,negative
train_233__2.wav,positive
train_087__1.wav,negative
train_231__1.wav,negative
train_279__1.wav,positive
train_267__1.wav,negative
train_099__1.wav,negative
train_268__3.wav,negative
train_106__0.wav,positive
train_040__2.wav,negative
train_213__1.wav,negative
train_105__2.wav,negative
train_192__0.wav,negative
train_098__1.wav,positive
train_052__2.wav,negative
train_174__0.wav,negative
train_229__2.wav,negative
train_134__0.wav,negative
train_092__2.wav,negative
train_107__0.wav,positive
train_072__2.wav,negative
train_118__0.wav,positive
train_271__2.wav,negative
train_257__2.wav,negative
train_249__0.wav,positive
train_242__0.wav,positive
train_137__4.wav,negative
train_085__4.wav,negative
train_103__0.wav,negative
train_017__2.wav,negative
train_052__3.wav,negative
train_067__5.wav,negative
train_088__2.wav,negative
train_127__1.wav,positive
train_177__2.wav,negative
train_205__1.wav,positive
train_285__2.wav,positive
train_207__1.wav,negative
train_184__1.wav,negative
train_226__0.wav,negative
train_239__1.wav,positive
train_049__5.wav,negative
train_285__1.wav,positive
train_119__0.wav,negative
train_181__1.wav,negative
train_010__0.wav,negative
train_191__2.wav,positive
train_204__5.wav,negative
train_143__1.wav,positive
train_175__3.wav,positive
train_150__2.wav,positive
train_144__1.wav,negative
train_048__0.wav,negative
train_088__0.wav,negative
train_036__0.wav,negative
train_018__0.wav,negative
train_092__3.wav,negative
train_104__1.wav,negative
train_179__1.wav,negative
train_039__0.wav,negative
train_016__0.wav,negative
train_262__1.wav,negative
train_174__2.wav,negative
train_154__2.wav,negative
train_165__0.wav,negative
train_204__2.wav,negative
train_245__3.wav,negative
train_256__4.wav,negative
train_123__0.wav,negative
train_245__2.wav,negative
train_039__1.wav,negative
train_257__1.wav,negative
train_220__2.wav,negative
train_243__0.wav,positive
train_132__4.wav,negative
train_132__3.wav,negative
train_196__1.wav,positive
train_007__0.wav,positive
train_185__0.wav,negative
train_149__0.wav,negative
train_097__1.wav,negative
train_228__2.wav,positive
train_007__1.wav,positive
train_132__2.wav,negative
train_087__0.wav,negative
train_065__1.wav,negative
train_224__0.wav,positive
train_105__3.wav,negative
train_152__2.wav,negative
train_213__4.wav,negative
train_249__1.wav,positive
train_148__6.wav,negative
train_061__0.wav,positive
train_086__1.wav,positive
train_185__3.wav,negative
train_132__1.wav,negative
train_018__3.wav,negative
train_117__0.wav,negative
train_161__0.wav,negative
train_099__2.wav,negative
